brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
104,2024-08-31 15:07:36.009000+00:00,16,8,1244,0,0,9590,0,104
0,2024-09-01 12:08:56.653000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:56.893000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:57.133000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:57.413000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:57.653000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:57.853000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:58.053000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:58.293000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:58.653000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:58.813000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:59.133000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:59.572000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:08:59.972000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:00.252000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:00.532000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:00.732000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:01.012000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:01.332000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:01.492000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:01.732000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:02.092000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:02.332000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:02.612000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:02.812000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:03.253000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:03.493000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:03.853000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:04.173000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:04.493000+00:00,16,0,1244,0,0,9590,0,0
0,2024-09-01 12:09:04.653000+00:00,16,8,1244,0,700,9590,0,0
0,2024-09-01 12:09:04.813000+00:00,16,8,1244,0,1820,9590,0,0
0,2024-09-01 12:09:05.093000+00:00,16,8,1244,0,3780,9590,0,0
0,2024-09-01 12:09:05.253000+00:00,16,8,1244,0,3971,9590,0,0
0,2024-09-01 12:09:05.613000+00:00,16,8,1244,0,4192,9590,0,0
0,2024-09-01 12:09:05.813000+00:00,16,8,1244,0,3896,9590,0,0
0,2024-09-01 12:09:06.252000+00:00,16,8,1244,0,3958,9590,0,0
0,2024-09-01 12:09:06.652000+00:00,16,8,1244,0,3938,9590,0,0
0,2024-09-01 12:09:06.892000+00:00,16,8,1244,0,3937,9590,0,0
0,2024-09-01 12:09:07.172000+00:00,16,8,1244,0,4035,9590,0,0
0,2024-09-01 12:09:07.372000+00:00,16,8,1244,0,4060,9590,0,0
0,2024-09-01 12:09:07.652000+00:00,16,8,1244,0,3843,9590,0,0
0,2024-09-01 12:09:07.932000+00:00,16,8,1244,0,4024,9590,0,0
0,2024-09-01 12:09:08.292000+00:00,16,8,1244,0,3840,9590,0,0
0,2024-09-01 12:09:08.492000+00:00,16,8,1244,0,4040,9590,0,0
0,2024-09-01 12:09:08.732000+00:00,16,8,1244,0,4031,9590,0,0
0,2024-09-01 12:09:08.932000+00:00,16,8,1244,0,3993,9590,0,0
0,2024-09-01 12:09:09.132000+00:00,16,8,1244,0,4005,9590,0,0
0,2024-09-01 12:09:09.292000+00:00,16,8,1244,0,3951,9590,0,0
0,2024-09-01 12:09:09.572000+00:00,16,8,1244,0,3977,9590,0,0
0,2024-09-01 12:09:09.893000+00:00,16,8,1244,0,3985,9590,0,0
0,2024-09-01 12:09:10.053000+00:00,16,8,1244,0,3979,9590,0,0
0,2024-09-01 12:09:10.253000+00:00,16,8,1244,0,4005,9590,0,0
0,2024-09-01 12:09:10.533000+00:00,16,8,1244,0,4056,9590,0,0
0,2024-09-01 12:09:10.813000+00:00,16,8,1244,0,3906,9590,0,0
0,2024-09-01 12:09:11.213000+00:00,16,8,1244,0,3979,9590,0,0
0,2024-09-01 12:09:11.493000+00:00,16,8,1244,0,3999,9590,0,0
0,2024-09-01 12:09:11.773000+00:00,16,8,1244,0,3975,9590,0,0
0,2024-09-01 12:09:12.013000+00:00,16,8,1244,0,4091,9590,0,0
0,2024-09-01 12:09:12.213000+00:00,16,8,1244,0,3894,9590,0,0
0,2024-09-01 12:09:12.413000+00:00,16,8,1244,0,4009,9590,0,0
0,2024-09-01 12:09:12.613000+00:00,16,8,1244,0,4004,9590,0,0
0,2024-09-01 12:09:12.812000+00:00,16,8,1244,0,3974,9590,0,0
0,2024-09-01 12:09:13.172000+00:00,16,8,1244,0,3968,9590,0,0
0,2024-09-01 12:09:13.372000+00:00,16,8,1244,0,3980,9590,0,0
0,2024-09-01 12:09:13.652000+00:00,16,8,1244,0,4025,9590,0,0
0,2024-09-01 12:09:13.892000+00:00,16,8,1244,0,3959,9590,0,0
0,2024-09-01 12:09:14.092000+00:00,16,8,1244,0,4069,9590,0,0
0,2024-09-01 12:09:14.252000+00:00,16,8,1244,0,3968,9590,0,0
0,2024-09-01 12:09:14.492000+00:00,16,8,1244,0,4054,9590,0,0
0,2024-09-01 12:09:14.692000+00:00,16,8,1244,0,3910,9590,0,0
0,2024-09-01 12:09:15.132000+00:00,16,8,1244,0,4003,9590,0,0
0,2024-09-01 12:09:15.492000+00:00,16,8,1244,0,3862,9590,0,0
0,2024-09-01 12:09:15.652000+00:00,16,8,1244,0,4008,9590,0,0
0,2024-09-01 12:09:15.932000+00:00,16,8,1244,0,3928,9590,0,0
0,2024-09-01 12:09:16.172000+00:00,16,8,1244,0,4033,9590,0,0
0,2024-09-01 12:09:16.533000+00:00,16,8,1244,0,3982,9590,0,0
0,2024-09-01 12:09:17.013000+00:00,16,8,1244,0,3957,9590,0,0
0,2024-09-01 12:09:17.333000+00:00,16,8,1244,0,3983,9590,0,0
0,2024-09-01 12:09:17.533000+00:00,16,8,1244,0,4057,9590,0,0
0,2024-09-01 12:09:17.733000+00:00,16,8,1244,0,4030,9590,0,0
0,2024-09-01 12:09:18.053000+00:00,16,8,1244,0,3860,9590,0,0
0,2024-09-01 12:09:18.493000+00:00,16,8,1244,0,4029,9590,0,0
0,2024-09-01 12:09:18.693000+00:00,16,8,1244,0,3954,9590,0,0
0,2024-09-01 12:09:18.893000+00:00,16,8,1244,0,3948,9590,0,0
0,2024-09-01 12:09:19.213000+00:00,16,8,1244,0,4059,9590,0,0
0,2024-09-01 12:09:19.453000+00:00,16,8,1244,0,3956,9590,0,0
0,2024-09-01 12:09:19.692000+00:00,16,8,1244,0,3938,9590,0,0
0,2024-09-01 12:09:19.852000+00:00,16,8,1244,0,3975,9590,0,0
0,2024-09-01 12:09:20.132000+00:00,16,8,1244,0,4076,9590,0,0
0,2024-09-01 12:09:20.572000+00:00,16,8,1244,0,3973,9590,0,0
0,2024-09-01 12:09:21.012000+00:00,16,8,1244,0,4006,9590,0,0
0,2024-09-01 12:09:21.292000+00:00,16,8,1244,0,4002,9590,0,0
0,2024-09-01 12:09:21.532000+00:00,16,8,1244,0,3988,9590,0,0
0,2024-09-01 12:09:21.932000+00:00,16,8,1244,0,4038,9590,0,0
0,2024-09-01 12:09:22.172000+00:00,16,8,1244,0,3982,9590,0,0
0,2024-09-01 12:09:22.652000+00:00,16,8,1244,0,3967,9590,0,0
0,2024-09-01 12:09:22.973000+00:00,16,8,1244,0,4044,9590,0,0
0,2024-09-01 12:09:23.213000+00:00,16,8,1244,0,4008,9590,0,0
0,2024-09-01 12:09:23.373000+00:00,16,8,1244,0,3947,9590,0,0
0,2024-09-01 12:09:23.533000+00:00,16,8,1244,0,3932,9590,0,0
0,2024-09-01 12:09:23.813000+00:00,16,8,1244,0,3964,9590,0,0
0,2024-09-01 12:09:24.093000+00:00,16,8,1244,0,3945,9590,0,0
0,2024-09-01 12:09:24.333000+00:00,16,8,1244,0,4074,9590,0,0
0,2024-09-01 12:09:24.613000+00:00,16,8,1244,0,4009,9590,0,0
0,2024-09-01 12:09:24.813000+00:00,16,8,1244,0,4000,9590,0,0
0,2024-09-01 12:09:24.973000+00:00,16,8,1244,0,3980,9590,0,0
0,2024-09-01 12:09:25.333000+00:00,16,8,1244,0,4007,9590,0,0
0,2024-09-01 12:09:25.573000+00:00,16,8,1244,0,4012,9590,0,0
0,2024-09-01 12:09:25.813000+00:00,16,8,1244,0,4035,9590,0,0
0,2024-09-01 12:09:26.053000+00:00,16,8,1244,0,4022,9590,0,0
0,2024-09-01 12:09:26.292000+00:00,16,8,1244,0,4020,9590,0,0
0,2024-09-01 12:09:26.532000+00:00,16,8,1244,0,4055,9590,0,0
0,2024-09-01 12:09:26.732000+00:00,16,8,1244,0,3902,9590,0,0
0,2024-09-01 12:09:26.932000+00:00,16,8,1244,0,3985,9590,0,0
0,2024-09-01 12:09:27.132000+00:00,16,8,1244,0,3908,9590,0,0
0,2024-09-01 12:09:27.532000+00:00,16,8,1244,0,3884,9590,0,0
0,2024-09-01 12:09:27.852000+00:00,16,8,1244,0,3955,9590,0,0
0,2024-09-01 12:09:28.172000+00:00,16,1,1244,0,4033,9590,0,0
0,2024-09-01 12:09:28.532000+00:00,16,1,1244,0,3977,9590,0,0
0,2024-09-01 12:09:28.812000+00:00,16,1,1244,0,4007,9590,0,0
0,2024-09-01 12:09:29.012000+00:00,16,1,1244,0,4001,9590,0,0
0,2024-09-01 12:09:29.252000+00:00,16,1,1244,0,4034,9590,0,0
0,2024-09-01 12:09:30.533000+00:00,16,1,1244,0,4009,9590,0,0
0,2024-09-01 12:09:30.973000+00:00,16,1,1244,0,4051,9590,0,0
0,2024-09-01 12:09:31.373000+00:00,16,1,1244,0,3984,9590,0,0
0,2024-09-01 12:09:31.653000+00:00,16,1,1244,0,4009,9590,0,0
0,2024-09-01 12:09:31.853000+00:00,16,1,1244,0,4006,9590,0,0
0,2024-09-01 12:09:32.133000+00:00,16,1,1244,0,4048,9590,0,0
0,2024-09-01 12:09:32.333000+00:00,16,1,1244,0,4030,9590,0,0
0,2024-09-01 12:09:32.613000+00:00,16,1,1244,0,4021,9590,0,0
0,2024-09-01 12:09:32.813000+00:00,16,1,1244,0,3963,9590,0,0
0,2024-09-01 12:09:33.212000+00:00,16,1,1244,0,3995,9590,0,0
0,2024-09-01 12:09:33.452000+00:00,16,1,1244,0,4005,9590,0,0
0,2024-09-01 12:09:33.692000+00:00,16,1,1244,0,4006,9590,0,0
0,2024-09-01 12:09:34.012000+00:00,16,1,1244,0,4099,9590,0,0
0,2024-09-01 12:09:34.452000+00:00,16,1,1244,0,4004,9590,0,0
0,2024-09-01 12:09:34.812000+00:00,16,1,1244,0,3905,9590,0,0
0,2024-09-01 12:09:35.012000+00:00,16,1,1244,0,4038,9590,0,0
0,2024-09-01 12:09:35.212000+00:00,16,1,1244,0,4008,9590,0,0
0,2024-09-01 12:09:35.452000+00:00,16,1,1244,0,4101,9590,0,0
0,2024-09-01 12:09:35.612000+00:00,16,1,1244,0,3871,9590,0,0
0,2024-09-01 12:09:35.892000+00:00,16,1,1244,0,3932,9590,0,0
0,2024-09-01 12:09:36.253000+00:00,16,1,1244,0,4030,9590,0,0
0,2024-09-01 12:09:36.533000+00:00,16,1,1244,0,4077,9590,0,0
0,2024-09-01 12:09:36.893000+00:00,16,1,1244,0,4029,9590,0,0
0,2024-09-01 12:09:37.093000+00:00,16,1,1244,0,4062,9590,0,0
0,2024-09-01 12:09:37.453000+00:00,16,1,1244,0,3976,9590,0,0
0,2024-09-01 12:09:37.613000+00:00,16,1,1244,0,4104,9590,0,0
0,2024-09-01 12:09:37.853000+00:00,16,1,1244,0,3908,9590,0,0
0,2024-09-01 12:09:38.133000+00:00,16,1,1244,0,3982,9590,0,0
0,2024-09-01 12:09:38.413000+00:00,16,1,1244,0,4032,9590,0,0
0,2024-09-01 12:09:38.573000+00:00,16,1,1244,0,3916,9590,0,0
0,2024-09-01 12:09:38.813000+00:00,16,1,1244,0,3997,9590,0,0
0,2024-09-01 12:09:39.013000+00:00,16,1,1244,0,4043,9590,0,0
